amazon_asin,amazon price,is_prime,in_stock,ebay_price,ebay_quantity,ebay_id
,,,,,0,332607557312
B01A6UTQK8,,False,False,,0,332616662109
B076GZSZQV,$80.63,True,True,104.39724454649827,2,332616662114
B074PP2XD5,$53.98,True,True,73.80022962112514,2,332616662133
B078KMGC11,$117.95,True,True,147.24454649827786,2,332616662158
B01J4XL1OC,,False,False,,0,332616662166
B00RXDBFTW,$59.33,True,True,79.94259471871412,2,332616662168
B0779JLGRH,$56.83,True,True,77.0723306544202,2,332616662171
B01AT3IS8S,$110.10,True,True,138.23191733639493,2,332616662230
B078GVRRC5,,True,False,,0,332616662265
B06WRQVP3V,,False,False,,0,332616662280
B00BWTL8W2,,False,False,,0,332616662281
B0006VBFM0,$45.45,True,True,64.0068886337543,2,332616662290
B0711MVHVJ,$48.69,True,True,67.72675086107921,2,332616662327
B074PNRFJM,,False,False,,0,332616662386
B01D309TUK,$41.90,True,True,59.931113662456944,2,332616662416
B00AS8RZZ2,$61.11,True,True,81.98622273249138,2,332616662417
B00470S8SK,$53.49,True,True,73.23765786452354,2,332616662423
B00SRDPR3M,$69.54,True,True,91.67623421354764,2,332616662427
B006R43YS8,$55.53,True,True,75.57979334098737,2,332616662428
B01MT82VX1,$46.78,True,True,65.53386911595867,2,332616662429
B00IS5VU5I,,False,False,,0,332616662436
B00F2BNKP4,$45.48,True,True,64.04133180252583,2,332616662447
B073ZGCFLL,,False,False,,0,332616662448
B000MXGJXM,,False,False,,0,332616662454
B073ZJS7T5,$56.98,True,True,77.24454649827783,2,332616662457
B074PNP8WH,$87.49,True,True,112.27324913892078,2,332616662461
B01J4XKER2,$44.49,True,True,62.904707233065444,2,332616662463
B01DA1EWY0,$83.59,True,True,107.79563719862227,2,332616662468
B0001ZUVAI,,True,False,,0,332616662473
B00F2BNP36,$51.60,True,True,71.06773823191733,2,332616662482
B004OYURK6,$93.23,True,True,118.8633754305396,2,332616662487
B0779KX986,$48.00,True,True,66.9345579793341,2,332616662491
B01C4R3J9A,$71.79,True,True,94.25947187141216,2,332616662492
B00F2BNP0Y,$44.11,True,True,62.46842709529276,2,332616662503
B000KNE14S,$100.45,True,True,127.15269804822044,2,332616662506
B076HCHQJB,,False,False,,0,332616662519
B074PP2Y74,$138.40,True,True,170.72330654420207,2,332616662535
B06XDBSXPZ,,False,False,,0,332616662537
B000GZYKIM,$45.49,True,True,64.05281285878301,2,332616662538
B074PMXTV3,$86.45,True,True,111.07921928817451,2,332616662541
B00RXDBXD0,$87.48,True,True,112.26176808266361,2,332616662545
B01M5JIOAE,,False,False,,0,332616662547
B004JKOCXS,$97.90,True,True,124.22502870264064,2,332616662550
B00RXDBOFM,$72.00,True,True,94.48909299655568,2,332616662557
B074PL13LD,$48.19,True,True,67.15269804822043,2,332616662559
B011IX2YNI,,True,False,,0,332616662560
B000KIE11Q,$111.09,True,True,139.36854190585535,2,332616662563
B01N7R6RIA,,True,False,,0,332616662567
B011BI8PCE,$48.12,True,True,67.0723306544202,2,332616662568
B00NL3AMJW,$72.00,True,True,94.48909299655568,2,332616662570
B004JKJ9FO,,False,False,,0,332616662590
B000HGW7F8,$94.99,True,True,120.88404133180252,2,332616662593
B004418O0O,,False,False,,0,332616662594
B01NBU40C5,$81.94,True,True,105.90126291618829,2,332616662599
B00RXDBF60,$58.96,True,True,79.51779563719863,2,332616662601
B01AT3IS7E,$67.50,True,True,89.32261768082664,2,332616662608
B003ZAF6ZQ,$120.14,True,True,149.7588978185993,2,332616662611
B078HFQP6Y,,True,False,,0,332616662614
B00LMHNNX6,$75.00,True,True,97.93340987370838,2,332616662618
B011K8TE16,$96.45,True,True,122.56027554535017,2,332616662619
B076H39RY4,$53.44,True,True,73.18025258323765,2,332616662623
B074PLDR1N,$127.89,True,True,158.65671641791045,2,332616662624
B00EMUR0UW,$59.09,True,True,79.66704936854191,2,332616662630
B000UX6OHK,$95.39,True,True,121.34328358208955,2,332616662634
B01N7R6L91,$50.51,True,True,69.81630309988519,2,332616662639
B00F2BNP9A,,True,False,,0,332616662643
B077GDHVXF,$95.00,True,True,120.8955223880597,2,332616662652
B01AT3LHBI,$47.99,True,True,66.92307692307692,2,332616662675
B00LMHN4ZI,,True,False,,0,332616662679
B00FP7DIXO,$71.70,True,True,94.14466130884041,2,332616662683
B00LMHN7QY,$85.78,True,True,110.30998851894374,2,332616662691
B074WCP4Q6,$66.33,True,True,87.97933409873708,2,332616662707
B01M4OXH25,$43.82,True,True,62.13547646383467,2,332616662712
B00470L7CY,$53.49,True,True,73.23765786452354,2,332616662713
B073ZGD267,$41.19,True,True,59.11595866819747,2,332616662725
B01LM0Y8TK,,True,False,,0,332616662733
B011J3I1MA,,True,False,,0,332616662753
B01IFI1Y2G,$83.59,True,True,107.79563719862227,2,332616662758
B01LPHBRRQ,$57.89,True,True,78.28932261768082,2,332616662763
B00XM0KRIU,$119.99,True,True,149.5866819747417,2,332626703145
B078Y5R33B,$99.95,True,True,126.57864523536165,2,332626703234
B0718YMK4R,$72.99,True,True,95.62571756601606,2,332626703355
B01HTVHQCC,$118.94,True,True,148.38117106773825,2,332626703360
B00HEVERI4,$12.46,True,True,26.130884041331804,2,332626703359
B00EJIRICW,$83.13,True,True,107.26750861079219,2,332626703379
B00X9V6AZ6,$119.00,True,True,148.4500574052813,2,332626703382
B01AA7AQU6,,False,False,,0,332626703390
B0756C9R95,$82.56,True,True,106.61308840413318,2,332626703392
B005FN0ZA2,$74.79,True,True,97.70378874856486,2,332626703393
B01N2WHP4G,$112.56,True,True,141.05625717566016,2,332626703401
B002TSBTF6,$79.32,True,True,102.89322617680826,2,332626703403
B01N6PUXSR,,False,False,,0,332626703404
B0041L6KIA,$64.88,True,True,86.31458094144661,2,332626703408
B00ATULLTU,$77.99,True,True,101.36624569460389,2,332626703414
B004D9NB96,$44.99,True,True,63.478760045924226,2,332626703415
B002MLDBV0,$424.19,True,True,498.8404133180253,2,332626703416
B01B170WU8,$82.53,True,True,106.57864523536165,2,332626703418
B01MRIQAOT,$102.99,True,True,130.06888633754303,2,332626703425
B076X2JLHF,,True,False,,0,332626703426
B00ATULL0E,$77.47,True,True,100.76923076923076,2,332626703429
B000PYBCT4,,False,False,,0,332626703432
B004FH6L8Y,$72.95,True,True,95.57979334098737,2,332626703433
B007HN6USO,,True,False,,0,332626703434
B00OSPERQQ,$88.99,True,True,113.99540757749712,2,332626703435
B005FMYWZW,$172.65,True,True,210.04592422502873,2,332626703436
B01MQTX7XH,$112.95,True,True,141.50401836969002,2,332626703442
B005FN12BS,$83.61,True,True,107.81859931113662,2,332626703444
B003MYYJD0,$127.18,True,True,157.841561423651,2,332626703446
B00962GV3S,$51.95,True,True,71.46957520091848,2,332626703450
B008LQT4L6,,False,False,,0,332626703455
B010EA7UVW,$127.46,True,True,158.1630309988519,2,332626703457
B06XBX156R,$103.99,True,True,131.21699196326063,2,332626703458
B073HGFL7T,$139.70,True,True,172.2158438576349,2,332626703464
B000GXAUQ0,$54.99,True,True,74.9598163030999,2,332626703465
B06XXJHNL8,$129.85,True,True,160.90700344431687,2,332626703466
B004MSU88K,$59.99,True,True,80.70034443168772,2,332626703468
B00HFH9S9A,$80.07,True,True,103.75430539609643,2,332626703470
B004V96OKQ,$126.96,True,True,157.5889781859931,2,332626703471
B0159W3EII,$99.95,True,True,126.57864523536165,2,332626703477
B004GVRRMI,,False,False,,0,332626703479
B003APJRI8,$219.95,True,True,264.3513203214696,2,332626703480
B01M7Y7CJ2,$71.42,True,True,93.82319173363949,2,332626703482
B010EA7RME,$84.95,True,True,109.35706084959817,2,332626703484
B00KJ30H6U,,False,False,,0,332626703485
B00ATUHGGW,$53.90,True,True,73.70838117106774,2,332626703486
B00ENF18IG,$118.14,True,True,147.46268656716418,2,332626703493
B01N5D9WUV,$103.94,True,True,131.15958668197473,2,332626703494
B00FALQB52,$70.51,True,True,92.78989667049368,2,332626703496
B01HXP349S,$89.95,True,True,115.097588978186,2,332626703502
B01487XQJM,$50.00,True,True,69.23076923076923,2,332626703503
B0006AAS7E,$51.98,True,True,71.50401836969,2,332626703504
B00962GZJ8,$80.15,True,True,103.85763490241102,2,332626703506
B00962GV2E,$63.95,True,True,85.24684270952928,2,332626703509
